league,hfa.before,hfa.adjustment,hfa.now,home.pts,result.likelihood,mean.pts,min.pts,q025.pts,median.pts,q975.pts,max.pts,sd.pts,z.pts
German 2. Bundesliga,0.10142278885170712,0.2,0.020284557770341424,131,0.941,113.839,71,92,114,136,153,11.28779962800741,1.5203140173944925
German 2. Bundesliga,0.10142278885170712,0.25,0.02535569721292678,131,0.9318,114.431,71,92,114,137,159,11.414747857349486,1.451543232234596
German 2. Bundesliga,0.10142278885170712,0.30000000000000004,0.03042683665551214,131,0.9297,114.9291,76,93,115,137,159,11.256364589172493,1.427716726185167
German 2. Bundesliga,0.10142278885170712,0.35000000000000003,0.035497976098097496,131,0.9157,115.8983,74,94,116,138,171,11.399725982901892,1.3247423686017175
German 2. Bundesliga,0.10142278885170712,0.4,0.04056911554068285,131,0.9095,116.4506,77,94,117,138,161,11.383554724769288,1.2781069140329433
German 2. Bundesliga,0.10142278885170712,0.45,0.04564025498326821,131,0.8913,117.4886,69,95,117,140,166,11.398213104087702,1.1853963315666074
German 2. Bundesliga,0.10142278885170712,0.5,0.05071139442585356,131,0.8765,118.1109,74,95.97500000000002,118,140,159,11.38678036438337,1.131935418752409
German 2. Bundesliga,0.10142278885170712,0.55,0.05578253386843892,131,0.8628,118.6831,68,96,119,141,161,11.504716869224731,1.0705956643703134
German 2. Bundesliga,0.10142278885170712,0.6000000000000001,0.06085367331102428,131,0.8565,119.4391,75,97,119,142,172,11.421529508941976,1.0122024367182096
German 2. Bundesliga,0.10142278885170712,0.65,0.06592481275360963,131,0.8381,120.2821,80,98,120,143,166,11.462716038352236,0.9350227262142574
German 2. Bundesliga,0.10142278885170712,0.7000000000000001,0.07099595219619499,131,0.8208,121.1355,71,99,121,144,172,11.483959590785238,0.8589807306458401
German 2. Bundesliga,0.10142278885170712,0.75,0.07606709163878034,131,0.7972,121.6573,79,99,122,144,163,11.65641642677506,0.8015070548217198
German 2. Bundesliga,0.10142278885170712,0.8,0.0811382310813657,131,0.7882,122.375,80,101,122,145,169,11.363462844959844,0.7590115898364147
German 2. Bundesliga,0.10142278885170712,0.8500000000000001,0.08620937052395106,131,0.7621,123.2726,81,101,123,146,163,11.556047917188057,0.6686888160533275
German 2. Bundesliga,0.10142278885170712,0.9,0.09128050996653642,131,0.7442,123.9124,87,102,124,146,164,11.363029441298142,0.6237421135459356
German 2. Bundesliga,0.10142278885170712,0.9500000000000001,0.09635164940912178,131,0.7236,124.5744,84,102,124,148,163,11.543525888522705,0.5566410178356975
German 2. Bundesliga,0.10142278885170712,1,0.10142278885170712,131,0.7137,125.1838,79,103,125,147,167,11.340197421903941,0.5128834872632663
German 2. Bundesliga,0.10142278885170712,1.05,0.10649392829429248,131,0.6835,126.1506,87,104,126,148,178,11.289759320133918,0.4295397149301213
German 2. Bundesliga,0.10142278885170712,1.1,0.11156506773687784,131,0.6673,126.587,80,104,127,149,170,11.445642457858243,0.385561580859112
German 2. Bundesliga,0.10142278885170712,1.15,0.11663620717946319,131,0.6356,127.4746,85,105,127,150,172,11.492944079580376,0.30674472751186677
German Bundesliga,0.15696249212618893,0,0,97,0.0727,113.2525,65,92,113,134,150,10.734498902914362,-1.5140436593260562
German Bundesliga,0.15696249212618893,0.05,0.007848124606309447,97,0.0576,114.0448,68,93,114,135,154,10.707037733458428,-1.5919249025093738
German Bundesliga,0.15696249212618893,0.1,0.015696249212618894,97,0.0494,115.1499,74,94,115,137,161,10.856197110018275,-1.6718469475145195
German Bundesliga,0.15696249212618893,0.15000000000000002,0.023544373818928342,97,0.0435,115.9303,79,95,116,137,169,10.726227067553179,-1.764861015973094
German Bundesliga,0.15696249212618893,0.2,0.03139249842523779,97,0.0334,116.9186,71,96,117,138,160,10.665793451731357,-1.8675216326045252
German Bundesliga,0.15696249212618893,0.25,0.03924062303154723,97,0.0275,117.9797,76,97,118,139,154,10.75102071222242,-1.951414713223367
German Bundesliga,0.15696249212618893,0.30000000000000004,0.047088747637856684,97,0.0216,119.1161,82,98,119,141,157,10.854243513493929,-2.037553328567339
German Bundesliga,0.15696249212618893,0.35000000000000003,0.05493687224416613,97,0.0184,120.1664,84,99,120,141,165,10.819390785145723,-2.1411926475385163
German Bundesliga,0.15696249212618893,0.4,0.06278499685047557,97,0.0134,121.2679,81,100,121,142.02499999999964,161,10.807553373034578,-2.245457335473328
German Bundesliga,0.15696249212618893,0.45,0.07063312145678502,97,0.0098,122.3088,84,101,122,144,165,10.793418936983542,-2.3448362514012735
German Bundesliga,0.15696249212618893,0.5,0.07848124606309446,97,0.0069,123.2461,84,103,123,144,167,10.70962204703971,-2.450702731125305
German Bundesliga,0.15696249212618893,0.55,0.08632937066940392,97,0.0052,124.5164,88,103.97500000000002,124,146,164,10.776137691879937,-2.5534566081810772
German Bundesliga,0.15696249212618893,0.6000000000000001,0.09417749527571337,97,0.004,125.5467,86,105,125,147,164,10.724901932518835,-2.6617213080003954
German Bundesliga,0.15696249212618893,0.65,0.10202561988202281,97,0.0045,126.533,86,105,127,148,167,10.932550620340463,-2.701382415284923
German Bundesliga,0.15696249212618893,0.7000000000000001,0.10987374448833226,97,0.0025,127.2153,91,106,127,148,170,10.799380008632768,-2.797873579394984
German Bundesliga,0.15696249212618893,0.75,0.11772186909464169,97,0.002,128.5637,87,107,129,150,168,10.870646687568343,-2.9035715084086227
German Bundesliga,0.15696249212618893,0.8,0.12556999370095115,97,0.0015,129.4382,89,108,129,151,175,10.758975616462358,-3.0149896380809857
German Bundesliga,0.15696249212618893,0.8500000000000001,0.1334181183072606,97,0.0015,130.4252,86,110,130,152,171,10.874338144595665,-3.073768679578137
German Bundesliga,0.15696249212618893,0.9,0.14126624291357004,97,7e-4,131.4959,85,111,131,153,174,10.747666464095467,-3.2096176519098196
German Bundesliga,0.15696249212618893,0.9500000000000001,0.1491143675198795,97,3e-4,132.6557,93,112,133,154,172,10.675511892430102,-3.339952253276313
German Bundesliga,0.15696249212618893,1,0.15696249212618893,97,3e-4,133.6473,93,113,134,155,181,10.842696118397471,-3.379906584103032
German Bundesliga,0.15696249212618893,1.05,0.1648106167324984,97,0,134.4813,98,113,135,155,176,10.710589245330913,-3.4994619942445553
